년도,단과대,학과,교양필수,교양균형,단일전공,다전공,심화전공,복수전공,부전공
2024,전자정보공과대학,안전공학과,13,18,60,54,–,54,21
2024,전자정보공과대학,"건축공학과, 환경",13,18,60,54,–,54,21
2024,공과대학,건축학과(5년제),13,18,60,54,120,99,45
2024,공과대학,수학과,13,18,48,45,70,45,21
2024,자연과학대학,전자바이오물리학과,13,18,60,54,70,54,21
2024,자연과학대학,"화학과, 스포츠융합학과",13,18,51,45,70,45,21
2024,인문사회과학대학,국어국문학과,13,18,45,45,70,45,21
2024,인문사회과학대학,영어영문학과,13,18,51,45,66,45,21
2024,인문사회과학대학,산업심리학과,13,18,45,45,70,45,21
2024,인문사회과학대학,미디어커뮤니케이션학부,13,18,60,60,–,30,21
2024,정책대학,동아시아문화학부,13,18,45,45,60,21,21
2024,정책대학,행정학과,13,18,45,45,60,21,21
2024,경영대학,법학부,13,18,57,39,–,21,21
2024,경영대학,국제학부,13,18,45,45,60,21,21
2024,창의인재대학,경영학부,13,18,45,39,60,21,21
